,Main title,property_type,monthly_rent,bills,property_features,deposit,property_rules
390,Modern studio apartment for rent in Wedding,"Studio
1
bathrooms
20
m2","Monthly rent
575 €","Bills
Electricity
Water
Gas
Wifi
Not included
Pay the Landlord 130€/month","Furnished
Washing machine
Dryer
Interior
Elevator
Equipped kitchen
Central water heating
Heating
20 m2",3 months' rent,"Landlord policies
Languages spoken: English, German
Lives on property: no
Deposit: 3 months’ rent
Payment method: bank transfer
Possibility of domiciliation: no"
391,Room for rent in apartment with 3 bedrooms in Berlin,"Room
3
flatmates
1
bathrooms","Monthly rent
780 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Exterior
Elevator
Equipped kitchen",2 months' rent,"Landlord policies
Languages spoken: English, German, Russian
Payment method: bank transfer
Documents required:
Passport / ID
Proof of income (last 3 months) OR work contract
Proof of enrollment (for students only)
Guarantor (only if no proof of income)
Copy of guarantor's ID (only if no proof of income)
Copy of guarantor's work contract (only if no proof of income)
The landlord only accepts tenants under the age of 35
Other costs:
Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment)
Registration is possible!
Surcharge for common laundry room
2.80€ washing machine
2.50€ dryer"
392,Room for rent in apartment with 3 bedrooms in Berlin,"Room
3
flatmates
1
bathrooms","Monthly rent
720 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Exterior
Elevator
Equipped kitchen",2 months' rent,"Landlord policies
Languages spoken: English, German, Russian
Payment method: bank transfer
Documents required:
Passport / ID
Proof of income (last 3 months) OR work contract
Proof of enrollment (for students only)
Guarantor (only if no proof of income)
Copy of guarantor's ID (only if no proof of income)
Copy of guarantor's work contract (only if no proof of income)
The landlord only accepts tenants under the age of 35
Other costs:
Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment)
Registration is possible!
Surcharge for common laundry room
2.80€ washing machine
2.50€ dryer"
393,Comfortable room in house with 3 bedrooms in Treptow-Köpenick,"Room
3
flatmates
1
bathrooms","Monthly rent
500 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Equipped kitchen
Balcony or terrace
Central water heating
Heating
Oven",1 month's rent,"Landlord policies
Languages spoken: German, Italian
Lives on property: no
Overnight guests permitted: yes
Deposit: 1 month’s rent
Payment method: bank transfer
Additional documentation:
ID / Passport"
394,Chic studio apartment for rent in Friedrichshain,"Studio
1
bathrooms
45
m2","Monthly rent
1115 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Dishwasher
Washing machine
Interior
Equipped kitchen
Oven
45 m2",2 months' rent,"Landlord policies
Maxium age for room/shared flat rentals is 30 years
Entire apartment rentals require no maximum age
Languages spoken: English, German
Lives on property: no
Deposit to be paid before you can pick up your keys
Payment method: bank transfer
Check-in/out:
Monday - Friday from 10:00 - 16:00
Check-in after 16:00 is 5€ surcharge
Keys are to be collected at the landlord's pick-up point which is open 24//7. -Check-out cleaning fee: 25€ per hour
Additional documentation:
ID / Passport
Work Contract (if you’re a professional)
University Acceptance letter (if you’re a student)
Recent Paychecks / Bank Statement (if you’re a professional, last 3 months)
Guarantor (if you’re a professional)
Visa (if you're from outside the EU)
GEZ tax: 17,50€ per month
Extending your contract: until 4 weeks before your move-out date
Your booking request has to be made at least 2 working days before you want to move in."
395,Furnished room in house with 3 bedrooms in Treptow-Köpenick,"Room
3
flatmates
1
bathrooms","Monthly rent
450 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Equipped kitchen
Balcony or terrace
Central water heating
Heating
Oven",1 month's rent,"Landlord policies
Languages spoken: German, Italian
Lives on property: no
Overnight guests permitted: yes
Deposit: 1 month’s rent
Payment method: bank transfer
Additional documentation:
ID / Passport"
396,Bright apartment with 1 bedroom for rent in Mitte,"Apartment
1
bedrooms
1
bathrooms
38
m2","Monthly rent
1490 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Washing machine
Dryer
Elevator
Equipped kitchen
Balcony or terrace
Parking available
Smoking allowed
Central water heating
Heating
Oven
38 m2",1 month's rent,"Landlord policies
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer; cash;
Possibility of domiciliation: yes
Additional documentation:
ID / Passport"
397,Furnished room in 7-bedroom apartment in Mitte,"Room
7
flatmates
2
bathrooms
150
m2","Monthly rent
570 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Elevator
Equipped kitchen
Balcony or terrace
Parking available
Central water heating
Heating
Oven
150 m2",700€,"Landlord policies
Languages spoken: English, German, Russian
Lives on property: no
Payment method: bank transfer
Overnight guests: not allowed
Registration is provided
Important: none of the rooms have an independent key.
Documents required:
Proof of income (last 3 months) or work contract: yes
Proof of enrollment (students): yes
Guarantor (if you don't have proof of income): yes
Copy of guarantor's ID: yes
Copy of guarantor's work contract: yes
The landlord only accepts tenants under the age of 35.
This landlord only accept bookings starting at the beginning/end of the month
Check-in/out:
Check-in hours: Monday - Friday from 10:00 - 16:00
You will have to pick up your key at the landlord's office. You will receive the address once your booking is confirmed."
398,Bright room for rent in 4-bedroom house in Spandau,"Room
4
flatmates
2
bathrooms
230
m2","Monthly rent
475 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Washing machine
Equipped kitchen
Balcony or terrace
Parking available
Smoking allowed
Central water heating
Heating
Oven
230 m2",2 months' rent,"Landlord policies
Languages spoken: English, German
Lives on property: yes
Overnight guests: not allowed
Payment method: bank transfer
Please note: the deposit must be paid 2 weeks before move-in date.
Check-in/out:
Check-out cleaning fee: 30€ payable to landlord
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Recent Paychecks / Bank Statement
Home Insurance"
399,Studio apartment for rent near Teutoburger Platz in Prenzlauer Berg,"Apartment
1
bedrooms","Monthly rent
1350 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Washing machine
Exterior
Elevator
Equipped kitchen
Other heating system",1 month's rent,"Landlord policies
Languages spoken: English, German
Lives on property: yes
Overnight guests: not allowed
Payment method: bank transfer
Please note: the deposit must be paid 2 weeks before move-in date.
Check-in/out:
Check-out cleaning fee: 30€ payable to landlord
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Recent Paychecks / Bank Statement
Home Insurance"
400,"Spacious room for rent in apartment with 4 bedrooms, near Kurfürstendamm, in Charlottenburg","Room
4
flatmates
1
bathrooms","Monthly rent
580 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Interior
Equipped kitchen
Balcony or terrace
Oven",700€,"Landlord policies
Languages spoken: English, German, Russian
Lives on property: no
Payment method: bank transfer
Overnight guests: not allowed
Registration is provided
Important: none of the rooms have an independent key.
Documents required:
Proof of income (last 3 months) or work contract: yes
Proof of enrollment (students): yes
Guarantor (if you don't have proof of income): yes
Copy of guarantor's ID: yes
Copy of guarantor's work contract: yes
The landlord only accepts tenants under the age of 35.
This landlord only accept bookings starting at the beginning/end of the month
Check-in/out:
Check-in hours: Monday - Friday from 10:00 - 16:00
You will have to pick up your key at the landlord's office. You will receive the address once your booking is confirmed."
401,Rooms for rent in shared apartment in new build in Wedding,"Room
4
flatmates
1
bathrooms","Monthly rent
550 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Exterior
Elevator
Equipped kitchen
Balcony or terrace
Other heating system
Oven",2 months' rent,"Landlord policies
Languages spoken: English, German, Russian
Payment method: bank transfer
Documents required:
Passport / ID
Proof of income (last 3 months) OR work contract
Proof of enrollment (for students only)
Guarantor (only if no proof of income)
Copy of guarantor's ID (only if no proof of income)
Copy of guarantor's work contract (only if no proof of income)
The landlord only accepts tenants under the age of 35
Other costs:
Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment)
Registration is possible!
Surcharge for common laundry room
2.80€ washing machine
2.50€ dryer"
402,Cosy room for rent in 6-bedroom apartment in Mitte,"Room
6
flatmates
2
bathrooms
105
m2","Monthly rent
590 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Exterior
Elevator
Equipped kitchen
Central water heating
Heating
Oven
105 m2",700€,"Landlord policies
Languages spoken: English, German, Russian
Lives on property: no
Payment method: bank transfer
Overnight guests: not allowed
Registration is provided
Important: none of the rooms have an independent key.
Documents required:
Proof of income (last 3 months) or work contract: yes
Proof of enrollment (students): yes
Guarantor (if you don't have proof of income): yes
Copy of guarantor's ID: yes
Copy of guarantor's work contract: yes
The landlord only accepts tenants under the age of 35.
This landlord only accept bookings starting at the beginning/end of the month
Check-in/out:
Check-in hours: Monday - Friday from 10:00 - 16:00
You will have to pick up your key at the landlord's office. You will receive the address once your booking is confirmed."
403,Sun-filled apartment with 2 bedrooms for rent in Mitte,"Apartment
2
bedrooms
1
bathrooms
49
m2","Monthly rent
1450 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
49 m2",1.5 months' rent,"Landlord policies
Overnight guests permitted: yes, if the apartment is big enough
Payment method: bank transfer; credit card; PayPal / cash (only in exceptional cases)
Check-in/out:
Check-in/out hours: 9:00 - 18:00 (Monday to Friday)
Additional documentation:
ID / Passport
Work Contract
Proof of Income
University Acceptance letter (if applicable)
Guarantor (if you don't have proof of income)
Your landlord speaks: English, German
Your landlord does not live on the property"
404,Room for rent in 8-bedroom apartment in Wilmersdorf,"Room
8
flatmates
2
bathrooms
180
m2","Monthly rent
500 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Exterior
Equipped kitchen
Balcony or terrace
Smoking allowed
Central water heating
Heating
Oven
180 m2",950€,"Landlord policies
Languages spoken: English, German, Italian
Lives on property: no
Payment method: bank transfer
Cleaning fee: €50 (payable before check in)
Additional documentation:
ID / Passport
Landlord provides registration
The landlord only accepts tenants under the age of 35.
The deposit must be paid as soon as the tenant receives the rental contract"
405,Charming studio apartment for rent near S-Bahn station in central Prenzlauer Berg,"Studio
1
bathrooms
34
m2","Monthly rent
1209 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Washing machine
Exterior
Equipped kitchen
Balcony or terrace
Parking available
Central water heating
Heating
Oven
34 m2",2 months' rent,"Landlord policies
Maxium age for room/shared flat rentals is 30 years
Entire apartment rentals require no maximum age
Languages spoken: English, German
Lives on property: no
Deposit to be paid before you can pick up your keys
Payment method: bank transfer
Check-in/out:
Monday - Friday from 10:00 - 16:00
Check-in after 16:00 is 5€ surcharge
Keys are to be collected at the landlord's pick-up point which is open 24//7. -Check-out cleaning fee: 25€ per hour
Additional documentation:
ID / Passport
Work Contract (if you’re a professional)
University Acceptance letter (if you’re a student)
Recent Paychecks / Bank Statement (if you’re a professional, last 3 months)
Guarantor (if you’re a professional)
Visa (if you're from outside the EU)
GEZ tax: 17,50€ per month
Extending your contract: until 4 weeks before your move-out date
Your booking request has to be made at least 2 working days before you want to move in."
406,Stylish studio apartment for rent in Kreuzberg,"Studio
1
bathrooms
29
m2","Monthly rent
1116 €","Bills
Electricity
Not included
Estimation requested to Landlord
Water
Not included
Estimation requested to Landlord
Gas
Not included
Estimation requested to Landlord
Wifi
Not included
Estimation requested to Landlord","Furnished
TV
Dishwasher
Washing machine
Dryer
Equipped kitchen
Central water heating
Heating
Oven
29 m2",1 month's rent,"Landlord policies
Payment method: bank transfer
Required documentation:
ID / Passport
Work contract
Enrollment Proof
Recent paychecks / Bank statement
Schufa
Your landlord speaks: English, German
Your landlord does not live on the property"
407,Rooms for rent in shared apartment in new build in Wedding,"Room
5
flatmates
2
bathrooms","Monthly rent
500 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Dryer
Exterior
Elevator
Equipped kitchen
Balcony or terrace
Other heating system
Oven",2 months' rent,"Landlord policies
Languages spoken: English, German, Russian
Payment method: bank transfer
Documents required:
Passport / ID
Proof of income (last 3 months) OR work contract
Proof of enrollment (for students only)
Guarantor (only if no proof of income)
Copy of guarantor's ID (only if no proof of income)
Copy of guarantor's work contract (only if no proof of income)
The landlord only accepts tenants under the age of 35
Other costs:
Rundfunkbeitrag (German broadcasting licence fees): not included in rent (€17.50 per month for the whole apartment)
Registration is possible!
Surcharge for common laundry room
2.80€ washing machine
2.50€ dryer"
408,Bright room with loft bed in Friedrichshain,"Room
3
flatmates
1
bathrooms
64
m2","Monthly rent
649 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Dryer
Equipped kitchen
Central water heating
Heating
Clotheslines
Oven
64 m2",2 months' rent,"Landlord policies
Registration is possible
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Check-in/out:
Check-in hours: 09:00 - 12:00
Check-out cleaning fee: €50 (to be paid at the start of your tenancy)
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Recent Paychecks / Bank Statement
Guarantor
Variable rent: (to cover VAT)
Staying 2-6 months: the rent price shown increases by 7% to cover VAT
Staying longer than 6 months: price as shown
Note: The deposit must be transferred to the landlord before you check-in"
409,Modern room for rent in apartment with 5 bedrooms in Treptow-Köpenick,"Room
5
flatmates
1
bathrooms
70
m2","Monthly rent
460 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Exterior
Equipped kitchen
Central water heating
Heating
Oven
70 m2",950€,"Landlord policies
Languages spoken: English, German, Italian
Lives on property: no
Payment method: bank transfer
Cleaning fee: €50 (payable before check in)
Additional documentation:
ID / Passport
Landlord provides registration
The landlord only accepts tenants under the age of 35.
The deposit must be paid as soon as the tenant receives the rental contract"
410,Quiet apartment with 1 bedroom for rent near the St. Michael Church in Mitte,"Apartment
1
bedrooms
1
bathrooms
60
m2","Monthly rent
1500 €","Bills
Electricity
Included
Water
Included
Wifi
Not included
Pay the Landlord 12€/month","Furnished
TV
Washing machine
Elevator
Equipped kitchen
Balcony or terrace
Central water heating
Heating
60 m2",1 month's rent,"Landlord policies
Languages spoken: English, German, Turkish
Lives on property: no
Payment method: cash; bank transfer
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Laundry cost:
3€ per wash
1€ per drying cicle
Check-in/out:
Check-in hours: 10:00-17:00 during weekdays
Check in fee: €50 per person
Out of hours check-in: €100 per person
Check-out cleaning fee: €38 per Person (payable at check-out)"
411,"Studio apartment for rent in Friedrichshain, Berlin","Studio
1
bathrooms
30
m2","Monthly rent
990 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Dishwasher
Washing machine
Equipped kitchen
Oven
30 m2","2,192€","Landlord policies
Maxium age for room/shared flat rentals is 30 years
Entire apartment rentals require no maximum age
Languages spoken: English, German
Lives on property: no
Deposit to be paid before you can pick up your keys
Payment method: bank transfer
Check-in/out:
Monday - Friday from 10:00 - 16:00
Check-in after 16:00 is 5€ surcharge
Keys are to be collected at the landlord's pick-up point which is open 24//7. -Check-out cleaning fee: 25€ per hour
Additional documentation:
ID / Passport
Work Contract (if you’re a professional)
University Acceptance letter (if you’re a student)
Recent Paychecks / Bank Statement (if you’re a professional, last 3 months)
Guarantor (if you’re a professional)
Visa (if you're from outside the EU)
GEZ tax: 17,50€ per month
Extending your contract: until 4 weeks before your move-out date
Your booking request has to be made at least 2 working days before you want to move in."
412,Sunny room with single bed for rent in Pankow,"Room
4
flatmates
1
bathrooms","Monthly rent
440 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Interior
Equipped kitchen
Oven",950€,"Landlord policies
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Cleaning fee: 50€ (payable before check in)
Additional documentation:
ID / Passport
Landlord provides registration
Maximum age 35 years
The deposit must be paid as soon as the tenant receives the rental contract"
413,"Renovated south-facing studio apartment for rent in Bötzow, Prenzlauer Berg","Studio
1
bathrooms
38
m2","Monthly rent
1249 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Dryer
Equipped kitchen
Central water heating
Heating
Clothes dryer
38 m2",1 month's rent,"Landlord policies
Registration is possible
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Check-in/out:
Check-in hours: 09:00 - 12:00
Check-out cleaning fee: €50 (to be paid at the start of your tenancy)
Additional documentation:
ID / Passport
Work Contract
University Acceptance letter (if applicable)
Recent Paychecks / Bank Statement
Guarantor
Variable rent: (to cover VAT)
Staying 2-6 months: the rent price shown increases by 7% to cover VAT
Staying longer than 6 months: price as shown
Note: The deposit must be transferred to the landlord before you check-in"
414,Quiet studio apartment to rent near Autokino Berlin in Schönefeld,"Studio
1
bathrooms
36
m2","Monthly rent
900 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Washing machine
Equipped kitchen
Balcony or terrace
Parking available
Pet-friendly
Smoking allowed
Central water heating
Heating
36 m2",1 month's rent,"Landlord policies
-
Payment method: cash t
Required documentation:
ID / Passport
Your landlord speaks: English, German
Your landlord does not live on the property"
415,"Stylish 2-bedroom apartment for rent in Mitte, central Berlin","Apartment
2
bedrooms
1
bathrooms","Monthly rent
1700 €","Bills
Electricity
Not included
Estimation requested to Landlord
Water
Not included
Estimation requested to Landlord
Gas
Not included
Estimation requested to Landlord
Wifi
Not included
Estimation requested to Landlord","Furnished
TV
Washing machine
Equipped kitchen
Doorman/Reception
Parking available
Central water heating
Heating
Drying rack
Oven",3 months' rent,"Landlord policies
Languages spoken: German, English
Lives on property: no
Payment method: cash; bank transfer; credit card"
416,Whole 1 bedrooms apartment in Berlin,"Apartment
1
bedrooms
1
bathrooms
46
m2","Monthly rent
1690 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Equipped kitchen
Balcony or terrace
Electric water heating
Heating
Oven
46 m2",1 month's rent,"Landlord policies
Languages spoken: German, English
Lives on property: no
Payment method: bank transfer
Check-in/out:
Check-out cleaning fee: €120 (payable at check-out)
Additional documentation:
ID / Passport
Recent Paychecks / Bank Statement
Guarantor"
417,Modern apartment with 2 bedrooms for rent in Mitte,"Apartment
2
bedrooms
1
bathrooms
80
m2","Monthly rent
1800 €","Bills
Electricity
Included
Included up to 100€/month
Water
Included
Included up to 100€/month
Gas
Included
Included up to 100€/month
Wifi
Included","Furnished
Dishwasher
Washing machine
Exterior
Elevator
Equipped kitchen
Balcony or terrace
Parking available
Pet-friendly
Smoking allowed
Central water heating
Heating
Oven
80 m2",2 months' rent,"Landlord policies
Payment method: cash; bank transfer
Possibility of domiciliation: yes
Other costs:
Heating limit: €100
Required documentation:
ID / Passport
Your landlord speaks: English, French, German
Your landlord does not live on the property"
418,Spacious room in house with 3 bedrooms in Treptow-Köpenick,"Room
3
flatmates
1
bathrooms","Monthly rent
500 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Equipped kitchen
Balcony or terrace
Central water heating
Heating
Oven",1 month's rent,"Landlord policies
Languages spoken: German, Italian
Lives on property: no
Overnight guests permitted: yes
Deposit: 1 month’s rent
Payment method: bank transfer
Additional documentation:
ID / Passport"
419,Fantastic room with balcony in Pankow,"Room
2
flatmates
1
bathrooms
53
m2","Monthly rent
579 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Equipped kitchen
Balcony or terrace
Central water heating
Heating
Oven
53 m2",2 months' rent,"Landlord policies
Maxium age for room/shared flat rentals is 30 years
Entire apartment rentals require no maximum age
Languages spoken: English, German
Lives on property: no
Deposit to be paid before you can pick up your keys
Payment method: bank transfer
Check-in/out:
Monday - Friday from 10:00 - 16:00
Check-in after 16:00 is 5€ surcharge
Keys are to be collected at the landlord's pick-up point which is open 24//7. -Check-out cleaning fee: 25€ per hour
Additional documentation:
ID / Passport
Work Contract (if you’re a professional)
University Acceptance letter (if you’re a student)
Recent Paychecks / Bank Statement (if you’re a professional, last 3 months)
Guarantor (if you’re a professional)
Visa (if you're from outside the EU)
GEZ tax: 17,50€ per month
Extending your contract: until 4 weeks before your move-out date
Your booking request has to be made at least 2 working days before you want to move in."
420,Modern room in 5-bedroom apartment in Wedding,"Room
5
flatmates
1
bathrooms
95
m2","Monthly rent
499 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Equipped kitchen
Natural gas water heating
Heating
Drying rack
Oven
95 m2",2 months' rent,"Landlord policies
Languages spoken: English, German
Deposit: 2 months' rent
Lives on property: no
Payment method: cash; bank transaction
Smoking allowed: no
Pets allowed: no
Possibility of domiciliation: yes
Documents required:
Copy of passport: yes
Haftpflichtversicherung (liability insurance): yes
Proof of enrollment: yes, if you are a student"
421,Renovated studio for rent in Friedrichshain,"Studio
1
bathrooms
39
m2","Monthly rent
1145 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Dishwasher
Washing machine
Equipped kitchen
Central water heating
Heating
Oven
39 m2",2 months' rent,"Landlord policies
Maxium age for room/shared flat rentals is 30 years
Entire apartment rentals require no maximum age
Languages spoken: English, German
Lives on property: no
Deposit to be paid before you can pick up your keys
Payment method: bank transfer
Check-in/out:
Monday - Friday from 10:00 - 16:00
Check-in after 16:00 is 5€ surcharge
Keys are to be collected at the landlord's pick-up point which is open 24//7. -Check-out cleaning fee: 25€ per hour
Additional documentation:
ID / Passport
Work Contract (if you’re a professional)
University Acceptance letter (if you’re a student)
Recent Paychecks / Bank Statement (if you’re a professional, last 3 months)
Guarantor (if you’re a professional)
Visa (if you're from outside the EU)
GEZ tax: 17,50€ per month
Extending your contract: until 4 weeks before your move-out date
Your booking request has to be made at least 2 working days before you want to move in."
422,Room for rent in apartment with 4 bedrooms in Charlottenburg,"Room
4
flatmates
1
bathrooms","Monthly rent
510 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Equipped kitchen
Other heating system
Oven",950€,"Landlord policies
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Cleaning fee: 50€ (payable before check in)
Additional documentation:
ID / Passport
Landlord provides registration
Maximum age 35 years
The deposit must be paid as soon as the tenant receives the rental contract"
423,Rooms for rent in 8-bedroom apartment in Mitte,"Room
8
flatmates
1
bathrooms
161
m2","Monthly rent
570 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Elevator
Equipped kitchen
Central water heating
Heating
Oven
161 m2",700€,"Landlord policies
Languages spoken: English, German, Russian
Lives on property: no
Payment method: bank transfer
Overnight guests: not allowed
Registration is provided
Important: none of the rooms have an independent key.
Documents required:
Proof of income (last 3 months) or work contract: yes
Proof of enrollment (students): yes
Guarantor (if you don't have proof of income): yes
Copy of guarantor's ID: yes
Copy of guarantor's work contract: yes
The landlord only accepts tenants under the age of 35.
This landlord only accept bookings starting at the beginning/end of the month
Check-in/out:
Check-in hours: Monday - Friday from 10:00 - 16:00
You will have to pick up your key at the landlord's office. You will receive the address once your booking is confirmed."
424,"Good room with ample storage in apartment, Pankow","Room
3
flatmates
1
bathrooms
85
m2","Monthly rent
590 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Dishwasher
Exterior
Equipped kitchen
Pet-friendly
Central water heating
Heating
Drying rack
Oven
85 m2",2 months' rent,"Landlord policies
Languages spoken: German
Lives on property: no
Payment method: cash; bank transaction
Possibility of domiciliation: yes
The whole apartment can be rented for 1920€ per month"
425,Studio for rent in coliving student building in Friedrichshain,"Studio
1
bathrooms
18
m2","Monthly rent
670 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Dryer
Elevator
Doorman/Reception
Central water heating
Heating
Clothes dryer
18 m2",3 months' rent,"Landlord policies
Payment method: bank transfer
Additional documentation:
ID / Passport
University Acceptance letter (if applicable)
Check-in/out:
Check-in hours: 9:00-19:00
Special landlord policy: you need to transfer the deposit within 5 business days of the booking confirmation with Spotahome. This means that you will need to transfer the deposit as soon as the booking confirmed. If not, the landlord reserves the right to cancel the booking.
Your landlord speaks: English, German
Your landlord does not live on the property"
426,Cozy room in 4-bedroom apartment in Tempelhof- Schöneberg,"Room
4
flatmates
1
bathrooms
75
m2","Monthly rent
499 €","Bills
Electricity
Included
Water
Included
Wifi
Included","Furnished
Dishwasher
Washing machine
Elevator
Equipped kitchen
Balcony or terrace
Central water heating
Heating
Oven
75 m2",2 months' rent,"Landlord policies
Languages spoken: English, German
Deposit: 2 months' rent
Lives on property: no
Payment method: cash; bank transaction
Smoking allowed: no
Pets allowed: no
Possibility of domiciliation: yes
Documents required:
Copy of passport: yes
Haftpflichtversicherung (liability insurance): yes
Proof of enrollment: yes, if you are a student"
427,Room for rent in apartment with 4 bedrooms in Charlottenburg,"Room
4
flatmates
1
bathrooms","Monthly rent
510 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Equipped kitchen
Other heating system
Oven",950€,"Landlord policies
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Cleaning fee: 50€ (payable before check in)
Additional documentation:
ID / Passport
Landlord provides registration
Maximum age 35 years
The deposit must be paid as soon as the tenant receives the rental contract"
428,Whole 1 bedroom apartment in Berlin,"Apartment
1
bedrooms
1
bathrooms
43
m2","Monthly rent
1080 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
A/C
Dishwasher
Washing machine
Elevator
Equipped kitchen
Electric water heating
Heating
Oven
43 m2",1.5 months' rent,"Landlord policies
Languages spoken: English, German
Lives on property: no
Payment method: bank transfer
Cleaning fee: 50€ (payable before check in)
Additional documentation:
ID / Passport
Landlord provides registration
Maximum age 35 years
The deposit must be paid as soon as the tenant receives the rental contract"
429,Chic apartment with 1 bedroom and balcony for rent near S-Bahn in Prenzlauer Berg,"Apartment
1
bedrooms
1
bathrooms
50
m2","Monthly rent
1690 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
TV
Dishwasher
Washing machine
Interior
Elevator
Equipped kitchen
Balcony or terrace
Electric water heating
Other heating system
Oven
50 m2",1.5 months' rent,Landlord policies
430,Sunny studio apartment with balcony and rooftop terrace access for rent in Friedrichshain,"Studio
1
bathrooms
34
m2","Monthly rent
1247 €","Bills
Electricity
Not included
Estimation requested to Landlord
Water
Not included
Estimation requested to Landlord
Gas
Not included
Estimation requested to Landlord
Wifi
Not included
Estimation requested to Landlord","Furnished
TV
Washing machine
Dryer
Equipped kitchen
Balcony or terrace
Central water heating
Heating
Oven
34 m2","2,000€","Landlord policies
Payment method: bank transfer
Required documentation:
ID / Passport
Work contract
Enrollment Proof
Recent paychecks / Bank statement
Schufa
Your landlord speaks: English, German
Your landlord does not live on the property"
431,"Bright room for rent in apartment with 4 bedrooms, near Kurfürstendamm, in Charlottenburg","Room
4
flatmates
1
bathrooms","Monthly rent
367 €","Bills
Electricity
Included
Water
Included
Gas
Included
Wifi
Included","Furnished
Washing machine
Interior
Equipped kitchen
Balcony or terrace
Oven",700€,"Landlord policies
Languages spoken: English, German, Russian
Lives on property: no
Payment method: bank transfer
Overnight guests: not allowed
Registration is provided
Important: none of the rooms have an independent key.
Documents required:
Proof of income (last 3 months) or work contract: yes
Proof of enrollment (students): yes
Guarantor (if you don't have proof of income): yes
Copy of guarantor's ID: yes
Copy of guarantor's work contract: yes
The landlord only accepts tenants under the age of 35.
This landlord only accept bookings starting at the beginning/end of the month
Check-in/out:
Check-in hours: Monday - Friday from 10:00 - 16:00
You will have to pick up your key at the landlord's office. You will receive the address once your booking is confirmed."
